GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017,GEOID10,DISTRICT,PSA,NAME,POLDIST_ID,GIS_ID,SECTOR
1000000US110010109002025,"Block 2025, Block Group 2, Census Tract 109, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010109002025,7,708,708,7,psa_1,7D3
1000000US110010040012000,"Block 2000, Block Group 2, Census Tract 40.01, District of Columbia, District of Columbia",297,258,17,0,10,0,7,5,297,279,247,17,0,10,0,0,5,18,11,0,0,0,0,7,0,110010040012000,3,303,303,3,psa_37,3D3
1000000US110010075041009,"Block 1009, Block Group 1, Census Tract 75.04, District of Columbia, District of Columbia",165,2,153,0,0,0,0,10,165,164,2,153,0,0,0,0,9,1,0,0,0,0,0,0,1,110010075041009,7,701,701,7,psa_9,7D1
1000000US110010111002020,"Block 2020, Block Group 2, Census Tract 111, District of Columbia, District of Columbia",83,13,61,1,0,0,8,0,83,63,3,59,1,0,0,0,0,20,10,2,0,0,0,8,0,110010111002020,5,503,503,5,psa_45,5D2
1000000US110010064001000,"Block 1000, Block Group 1, Census Tract 64, District of Columbia, District of Columbia",71,16,33,1,18,0,0,3,71,71,16,33,1,18,0,0,3,0,0,0,0,0,0,0,0,110010064001000,1,105,105,1,psa_22,1D3
1000000US110010073011088,"Block 1088, Block Group 1, Census Tract 73.01, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010073011088,7,707,707,7,psa_4,7D2
1000000US110010001001010,"Block 1010, Block Group 1, Census Tract 1, District of Columbia, District of Columbia",133,125,0,0,2,0,3,3,133,118,112,0,0,2,0,2,2,15,13,0,0,0,0,1,1,110010001001010,2,206,206,2,psa_29,2D2
1000000US110010076042011,"Block 2011, Block Group 2, Census Tract 76.04, District of Columbia, District of Columbia",26,4,22,0,0,0,0,0,26,24,2,22,0,0,0,0,0,2,2,0,0,0,0,0,0,110010076042011,6,606,606,6,psa_7,6D2
1000000US110010009011004,"Block 1004, Block Group 1, Census Tract 9.01, District of Columbia, District of Columbia",115,105,4,0,4,0,1,1,115,113,104,4,0,4,0,0,1,2,1,0,0,0,0,1,0,110010009011004,2,205,205,2,psa_46,2D2
1000000US110010055001006,"Block 1006, Block Group 1, Census Tract 55, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010055001006,2,208,208,2,psa_33,2D3
1000000US110010097001000,"Block 1000, Block Group 1, Census Tract 97, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010097001000,7,705,705,7,psa_3,7D2
1000000US110010021021001,"Block 1001, Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia",73,6,65,0,0,0,0,2,73,71,4,65,0,0,0,0,2,2,2,0,0,0,0,0,0,110010021021001,4,406,406,4,psa_54,4D2
1000000US110010088042004,"Block 2004, Block Group 2, Census Tract 88.04, District of Columbia, District of Columbia",139,3,130,0,0,0,6,0,139,131,2,129,0,0,0,0,0,8,1,1,0,0,0,6,0,110010088042004,5,506,506,5,psa_26,5D3
1000000US110010099051003,"Block 1003, Block Group 1, Census Tract 99.05, District of Columbia, District of Columbia",27,0,27,0,0,0,0,0,27,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,110010099051003,6,604,604,6,psa_14,6D3
1000000US110010104002025,"Block 2025, Block Group 2, Census Tract 104, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010104002025,7,703,703,7,psa_8,7D1
1000000US110010002024008,"Block 4008, Block Group 4, Census Tract 2.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010002024008,2,206,206,2,psa_29,2D2
1000000US110010087021009,"Block 1009, Block Group 1, Census Tract 87.02, District of Columbia, District of Columbia",115,13,100,0,2,0,0,0,115,114,13,100,0,1,0,0,0,1,0,0,0,1,0,0,0,110010087021009,5,502,502,5,psa_40,5D1
1000000US110010101002003,"Block 2003, Block Group 2, Census Tract 101, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010101002003,2,207,207,2,psa_24,2D3
1000000US110010001004043,"Block 4043, Block Group 4, Census Tract 1, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010001004043,2,206,206,2,psa_29,2D2
1000000US110010089031010,"Block 1010, Block Group 1, Census Tract 89.03, District of Columbia, District of Columbia",150,10,134,0,0,0,1,5,150,147,9,134,0,0,0,1,3,3,1,0,0,0,0,0,2,110010089031010,5,507,507,5,psa_23,5D3
1000000US110010089042009,"Block 2009, Block Group 2, Census Tract 89.04, District of Columbia, District of Columbia",167,4,153,0,4,0,1,5,167,165,3,153,0,4,0,0,5,2,1,0,0,0,0,1,0,110010089042009,5,507,507,5,psa_23,5D3
1000000US110010070002000,"Block 2000, Block Group 2, Census Tract 70, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010070002000,1,107,107,1,psa_16,1D2
1000000US110010076042009,"Block 2009, Block Group 2, Census Tract 76.04, District of Columbia, District of Columbia",67,5,58,0,0,0,0,4,67,67,5,58,0,0,0,0,4,0,0,0,0,0,0,0,0,110010076042009,6,606,606,6,psa_7,6D2
1000000US110010062021133,"Block 1133, Block Group 1, Census Tract 62.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010062021133,1,102,102,1,psa_18,1D1
1000000US110010081002005,"Block 2005, Block Group 2, Census Tract 81, District of Columbia, District of Columbia",161,120,27,1,5,0,0,8,161,155,116,25,1,5,0,0,8,6,4,2,0,0,0,0,0,110010081002005,1,108,108,1,psa_17,1D2
1000000US110010087021002,"Block 1002, Block Group 1, Census Tract 87.02, District of Columbia, District of Columbia",5,0,1,0,0,0,4,0,5,1,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,110010087021002,5,502,502,5,psa_40,5D1
1000000US110010036003002,"Block 3002, Block Group 3, Census Tract 36, District of Columbia, District of Columbia",328,192,83,1,12,0,28,12,328,278,174,80,1,11,0,1,11,50,18,3,0,1,0,27,1,110010036003002,3,304,304,3,psa_36,3D1
1000000US110010027021002,"Block 1002, Block Group 1, Census Tract 27.02, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010027021002,3,302,302,3,psa_42,3D1
1000000US110010101001026,"Block 1026, Block Group 1, Census Tract 101, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010101001026,2,207,207,2,psa_24,2D3
1000000US110010076012009,"Block 2009, Block Group 2, Census Tract 76.01, District of Columbia, District of Columbia",91,11,79,0,1,0,0,0,91,91,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,110010076012009,6,607,607,6,psa_10,6D2
1000000US110010098022002,"Block 2002, Block Group 2, Census Tract 98.02, District of Columbia, District of Columbia",118,2,114,0,0,0,0,2,118,116,2,113,0,0,0,0,1,2,0,1,0,0,0,0,1,110010098022002,7,706,706,7,psa_2,7D3
1000000US110010099012026,"Block 2026, Block Group 2, Census Tract 99.01, District of Columbia, District of Columbia",110,5,105,0,0,0,0,0,110,109,5,104,0,0,0,0,0,1,0,1,0,0,0,0,0,110010099012026,6,605,605,6,psa_11,6D2
1000000US110010105002005,"Block 2005, Block Group 2, Census Tract 105, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010105002005,1,103,103,1,psa_12,1D1
1000000US110010025023000,"Block 3000, Block Group 3, Census Tract 25.02, District of Columbia, District of Columbia",192,34,67,0,3,0,67,21,192,109,31,67,0,3,0,0,8,83,3,0,0,0,0,67,13,110010025023000,4,404,404,4,psa_48,4D3
1000000US110010018031010,"Block 1010, Block Group 1, Census Tract 18.03, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010018031010,2,201,201,2,psa_55,2D1
1000000US110010092041002,"Block 1002, Block Group 1, Census Tract 92.04, District of Columbia, District of Columbia",211,45,156,1,0,0,9,0,211,195,40,154,1,0,0,0,0,16,5,2,0,0,0,9,0,110010092041002,5,502,502,5,psa_40,5D1
1000000US110010103002011,"Block 2011, Block Group 2, Census Tract 103, District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110010103002011,4,401,401,4,psa_56,4D1
1000000US110010025024004,"Block 4004, Block Group 4, Census Tract 25.02, District of Columbia, District of Columbia",534,120,155,9,12,0,203,35,534,169,28,124,1,12,0,1,3,365,92,31,8,0,0,202,32,110010025024004,4,404,404,4,psa_48,4D3
